time	V(1)	V(20)
Step Information: Amplitude=30m Frequency=1K  (Step: 1/36)
0.000000000000000e+00	0.000000e+00	-1.555982e-02
6.399999961104186e-07	1.206368e-04	-1.536676e-02
1.318406352340273e-06	2.485109e-04	-1.481286e-02
1.873304588877594e-06	3.531014e-04	-1.418694e-02
5.367583399573113e-06	1.011574e-03	-9.651777e-03
6.362256260576481e-06	1.198938e-03	-8.477707e-03
7.235385861326055e-06	1.363368e-03	-7.568653e-03
8.025128039984048e-06	1.512060e-03	-6.844047e-03
8.710587827457588e-06	1.641088e-03	-6.286467e-03
9.898428051664871e-06	1.864607e-03	-5.448546e-03
1.153855370312432e-05	2.173061e-03	-4.383395e-03
1.210959644156992e-05	2.280403e-03	-3.974303e-03
1.274394632494472e-05	2.399611e-03	-3.466963e-03
1.359757562737010e-05	2.559966e-03	-2.679931e-03
1.530483423222085e-05	2.880449e-03	-8.781361e-04
1.718886171859650e-05	3.233729e-03	1.302334e-03
2.016136994782909e-05	3.790173e-03	4.853439e-03
2.080516059849274e-05	3.910521e-03	5.691356e-03
2.102448999949635e-05	3.951507e-03	6.025765e-03
2.117450586296763e-05	3.979536e-03	6.300197e-03
2.140596248577836e-05	4.022775e-03	6.794605e-03
2.159278440844736e-05	4.057669e-03	7.262047e-03
2.174137485346191e-05	4.085419e-03	7.699330e-03
2.188670294061805e-05	4.112555e-03	8.193093e-03
2.213514301042608e-05	4.158938e-03	9.205978e-03
2.234005235578091e-05	4.197186e-03	1.023878e-02
2.256591304854213e-05	4.239337e-03	1.159011e-02
2.282749231859847e-05	4.288143e-03	1.342327e-02
2.320204174316900e-05	4.358007e-03	1.638943e-02
2.372877011376495e-05	4.456216e-03	2.061774e-02
2.414164680374164e-05	4.533163e-03	2.358020e-02
2.440186969571464e-05	4.581644e-03	2.516990e-02
2.486312722139890e-05	4.667550e-03	2.747677e-02
2.513959363879819e-05	4.719021e-03	2.861372e-02
2.577867917937311e-05	4.837948e-03	3.061114e-02
